"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03722V04470","Type of Buyer","C03789V04537","Local Authority Area","UNIT","VALUE"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","500"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","290"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","2340"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","280"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","3800"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","1870"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","390"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","2970"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","710"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","510"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","1870"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","390"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","560"
