"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03721V04469","Transaction Class","C03789V04537","Local Authority Area","UNIT","VALUE"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","€","35700"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","€","56500"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","€","58500"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","€","30900"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","€","52900"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","€","38400"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1435-13a3-e055-000000000001","Galway City Council","€","46700"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","€","48000"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","€","40600"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","€","36100"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1490-13a3-e055-000000000001","Longford County Council","€","34600"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1491-13a3-e055-000000000001","Louth County Council","€","40700"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","€","41600"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","€","33300"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","€","41200"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","€","44200"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","€","32100"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","€","36100"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","€","36500"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","€","29300"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","€","50600"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","€","37000"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","€","34700"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","€","38200"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","€","36300"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","€","41600"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","€","33600"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","IE0","Ireland","€","81600"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","€","87200"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","€","73300"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","€","64100"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","€","80800"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","€","71500"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","€","102500"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","€","124500"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","€","63800"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","€","91000"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","€","75700"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1435-13a3-e055-000000000001","Galway City Council","€","85700"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","€","82500"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","€","70400"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","€","70400"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1490-13a3-e055-000000000001","Longford County Council","€","59100"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1491-13a3-e055-000000000001","Louth County Council","€","67100"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","€","76500"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","€","57200"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","€","66800"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","€","76900"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","€","64500"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","€","66600"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","€","64100"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","€","62000"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","€","87700"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","€","74900"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","€","68400"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","€","71900"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","€","66900"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","€","84800"
"CRP02C4","Median Income","2019","2019","02","Executions","120","Joint transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","€","64000"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","IE0","Ireland","€","70200"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","€","69300"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","€","61200"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","€","50800"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","€","72900"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","€","57500"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","€","87200"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","€","109400"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","€","46300"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","€","84300"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","€","70300"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-1435-13a3-e055-000000000001","Galway City Council","€","69600"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","€","78300"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","€","60200"
"CRP02C4","Median Income","2020","2020","01","Filings","-","All Transactions","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","€","58700"
